Actual Demand,Forecast Demand
8292.45,8436.663503797174
8140.569999999999,8395.884481072904
8147.18,8405.10633888066
8153.160000000001,8413.945824642897
8077.9,8427.412012155892
8016.26,8361.72145066619
7977.74,8296.059567079903
7915.28,8345.543289420368
7898.15,8303.907753314139
7896.5,8236.660937599183
8019.869999999999,8275.003294463397
8097.150000000001,8242.48541978252
8145.640000000001,8306.536561127068
8192.64,8353.275808110833
8249.85,8388.391900840998
8370.42,8419.76648310578
8474.22,8423.012821772218
8314.85,8356.448540158512
8165.16,8344.988849954367
7948.17,8336.833810153605
7700.06,7905.636678144575
7579.97,7783.90519169885
7357.9,7624.068419057132
7357.4,7626.109807815135
7273.45,7509.635936995269
7220.33,7345.1471304547795
7120.19,7186.3566233226065
6960.31,7133.472657567382
6754.19,7060.009428322435
6438.93,6847.946847808838
6177.31,6850.291266412914
6008.52,6417.228636786819
5902.73,6036.674770346284
5869.6,6015.117590350152
5939.59,6007.497871413112
6215.62,6444.808176499844
6554.62,6431.893082697452
7180.99,6836.9651226615915
7787.69,7033.218530953289
8080.419999999999,7344.617067206681
8269.62,7720.462021906675
8140.88,7936.989274016739
7961.32,8242.495935013772
7858.6,8288.708464504838
7680.6,8377.566948232414
7675.95,8368.674886313916
7587.73,8338.862293855072
7487.36,8297.924586731911
7455.33,8332.357189430715
7361.59,8259.884303783656
7383.95,8263.753908884288
7362.33,8262.169932685734
7418.2,8190.355682887078
7453.63,8251.499840755583
7448.54,8233.188043495775
7502.72,8244.85995018518
7594.02,8252.333411814809
7708.82,8256.992615189434
